144	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#67.601#67.837
145	только	только	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#67.837#68.073
146	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#68.073#68.309
147	том	тот	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#68.309#68.545
148	насколько	насколько	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#68.545#68.781
149	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#68.781#69.017
150	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#69.017#69.253
151	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#69.253#69.489
152	погружен	погрузить	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@dap1994m-words#@dap1994m#69.489#69.727
153	э	эра	X	_	Foreign=Yes	_	_	_	@dap1994m-words#@dap1994m#70.129#70.366
154	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#70.366#70.603
155	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@dap1994m-words#@dap1994m#70.603#70.84
156	хотелось	хотеться	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@dap1994m-words#@dap1994m#70.84#71.077
157	у	у	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#71.077#71.314
158	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#71.314#71.551
159	спросить	спросить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#71.551#71.788
160	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#71.788#72.025
161	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#72.025#72.27
162	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#73.016#73.26
163	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#73.26#73.504
164	э	эра	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#73.504#73.748
165	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#73.748#73.992
166	веду...	веду...	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#73.992#74.236
167	провела	провести	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#74.236#74.48
168	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#74.48#74.724
169	сезон	сезон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#74.724#74.968
170	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#74.968#75.212
171	э	эра	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#75.212#75.456
172	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#75.456#75.7
173	подиума	подиум	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#75.7#75.945
174	эээ	эээ	X	_	Foreign=Yes	_	_	_	@dap1994m-words#@dap1994m#76.494#76.87
175	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#76.87#77.246
176	cмысл	cмысл	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#77.246#77.622
177	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#77.622#77.998
178	шоу	шоу	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#77.998#78.374
179	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#78.374#78.75
180	подиума	подиум	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#78.75#79.128
181	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#79.543#79.758
182	том	тот	DET	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#79.758#79.973
183	чтоб...	чтоб...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#79.973#80.188
184	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#80.188#80.403
185	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#80.403#80.618
186	если	если	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#80.618#80.833
187	че	что	PRON	_	Case=Nom	_	_	_	@dap1994m-words#@dap1994m#80.833#81.048
188	не	не	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#81.048#81.263
189	промоушн	промоушть	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@dap1994m-words#@dap1994m#81.263#81.478
190	шоу	шоу	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#81.478#81.693
191	подума	подум	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#81.693#81.908
192	п...	п...	PROPN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#81.908#82.123
193	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#82.123#82.338
194	просто	просто	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#82.338#82.553
195	маша	маша	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#82.553#82.768
196	миногарова	миногарова	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#82.768#82.983
197	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@dap1994m-words#@dap1994m#82.983#83.198
198	там	там	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#83.198#83.413
199	снималась	снимать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@dap1994m-words#@dap1994m#83.413#83.642
200	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#84.169#84.441
201	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#84.441#84.713
202	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#84.713#84.985
203	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#84.985#85.257
204	что	что	PRON	_	Case=Nom	_	_	_	@dap1994m-words#@dap1994m#85.257#85.529
205	там	там	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#85.529#85.801
206	соревнуются	соревноваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dap1994m-words#@dap1994m#85.801#86.073
207	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#86.073#86.345
208	дизайнеры	дизайнер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#86.345#86.617
209	из	из	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#86.617#86.889
210	России	Россия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#86.889#87.169
211	как	как	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#88.162#88.453
212	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#88.453#88.744
213	думаешь	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#88.744#89.035
214	э	эра	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#89.344#89.591
215	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@dap1994m-words#@dap1994m#89.591#89.838
216	просто	просто	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#89.838#90.085
217	посмотрел	смотреть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#90.085#90.332
218	только	только	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#90.332#90.579
219	одну	один	NUM	_	Case=Acc|Gender=Fem	_	_	_	@dap1994m-words#@dap1994m#90.579#90.826
220	серию	серия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#90.826#91.077
221	у	у	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#92.259#92.582
222	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@dap1994m-words#@dap1994m#92.582#92.905
223	много	много	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#92.905#93.228
224	пиздатых	пиздатый	VERB	_	Aspect=Perf|Case=Gen|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	@dap1994m-words#@dap1994m#93.228#93.551
225	талантливых	талантливый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#93.551#93.874
